#     t_0 (HJD)       u_0    t_E (d)     rho 
# 2458310.77700  0.006689    15.8860 0.00010 
# 
# Data are perfect.
2.458310474156521726e+06 1.282946640961358575e+01 5.428681023790647014e-02
2.458310484782608692e+06 1.279527866199286557e+01 5.428681023790647014e-02
2.458310495408695657e+06 1.276011778998452328e+01 5.428681023790647014e-02
2.458310506034782622e+06 1.272393959201948022e+01 5.428681023790647014e-02
2.458310516660869122e+06 1.268669859355559204e+01 5.428681023790647014e-02
2.458310527286956087e+06 1.264834845609323644e+01 5.428681023790647014e-02
2.458310537913043052e+06 1.260884259844524635e+01 5.428681023790647014e-02
2.458310548539130017e+06 1.256813506685636028e+01 5.428681023790647014e-02
2.458310559165216982e+06 1.252618177085575901e+01 5.428681023790647014e-02
2.458310569791303948e+06 1.248294219850303222e+01 5.428681023790647014e-02
2.458310580417390913e+06 1.243838177643257836e+01 5.428681023790648402e-02
2.458310591043477878e+06 1.239247509085216592e+01 5.428681023790647014e-02
2.458310601669564843e+06 1.234521025208203326e+01 5.428681023790647014e-02
2.458310612295651808e+06 1.229659476685191777e+01 5.428681023790647014e-02
2.458310622921738774e+06 1.224666337770247182e+01 5.428681023790648402e-02
2.458310633547825739e+06 1.219548842946317890e+01 5.428681023790647014e-02
2.458310644173912704e+06 1.214319340834352090e+01 5.428681023790647014e-02
2.458310654799999669e+06 1.208997032604542987e+01 5.428681023790647014e-02
2.458310665426086634e+06 1.203610150665873135e+01 5.428681023790647014e-02
2.458310676052173600e+06 1.198198593480713114e+01 5.428681023790647014e-02
2.458310686678260565e+06 1.192816941715566870e+01 5.428681023790647014e-02
2.458310697304347530e+06 1.187537610037420777e+01 5.428681023790647014e-02
2.458310707930434495e+06 1.182453609183717447e+01 5.428681023790647014e-02
2.458310718556521460e+06 1.177680001959921618e+01 5.428681023790647014e-02
2.458310729182608426e+06 1.173352707909733184e+01 5.428681023790647014e-02
2.458310739808695391e+06 1.169623059883782368e+01 5.428681023790648402e-02
2.458310750434782356e+06 1.166646823653731957e+01 5.428681023790647014e-02
2.458310761060869321e+06 1.164567668152323421e+01 5.428681023790647014e-02
2.458310771686956286e+06 1.163497352411326347e+01 5.428681023790647014e-02
2.458310782313043252e+06 1.163497352411326347e+01 5.428681023790647014e-02
2.458310792939130217e+06 1.164567668152323421e+01 5.428681023790647014e-02
2.458310803565217182e+06 1.166646823653731957e+01 5.428681023790647014e-02
2.458310814191304147e+06 1.169623059883782368e+01 5.428681023790648402e-02
2.458310824817391112e+06 1.173352707909733184e+01 5.428681023790647014e-02
2.458310835443478078e+06 1.177680001959921618e+01 5.428681023790647014e-02
2.458310846069565043e+06 1.182453609183717447e+01 5.428681023790647014e-02
2.458310856695652008e+06 1.187537610037420777e+01 5.428681023790647014e-02
2.458310867321738973e+06 1.192816941715566870e+01 5.428681023790647014e-02
2.458310877947825938e+06 1.198198593480713114e+01 5.428681023790647014e-02
2.458310888573912904e+06 1.203610150665873135e+01 5.428681023790647014e-02
2.458310899199999869e+06 1.208997032604542987e+01 5.428681023790647014e-02
2.458310909826086834e+06 1.214319340834352090e+01 5.428681023790647014e-02
2.458310920452173799e+06 1.219548842946317890e+01 5.428681023790647014e-02
2.458310931078260764e+06 1.224666337770247182e+01 5.428681023790648402e-02
2.458310941704347730e+06 1.229659476685191777e+01 5.428681023790647014e-02
2.458310952330434695e+06 1.234521025208203326e+01 5.428681023790647014e-02
2.458310962956521660e+06 1.239247509085216592e+01 5.428681023790647014e-02
2.458310973582608625e+06 1.243838177643257836e+01 5.428681023790648402e-02
2.458310984208695590e+06 1.248294219850303222e+01 5.428681023790647014e-02
2.458310994834782556e+06 1.252618177085575901e+01 5.428681023790647014e-02
2.458311005460869521e+06 1.256813506685636028e+01 5.428681023790647014e-02
2.458311016086956486e+06 1.260884259844524635e+01 5.428681023790647014e-02
2.458311026713043451e+06 1.264834845609323644e+01 5.428681023790647014e-02
2.458311037339130417e+06 1.268669859355559204e+01 5.428681023790647014e-02
2.458311047965216916e+06 1.272393959201948022e+01 5.428681023790647014e-02
2.458311058591303881e+06 1.276011778998452328e+01 5.428681023790647014e-02
2.458311069217390846e+06 1.279527866199286557e+01 5.428681023790647014e-02
2.458311079843477812e+06 1.282946640961358575e+01 5.428681023790647014e-02
2.458311090469564777e+06 1.286272368838055868e+01 5.428681023790648402e-02
2.458311101095651742e+06 1.289509144198975932e+01 5.428681023790647014e-02
2.458311111721738707e+06 1.292660881333927136e+01 5.428681023790647014e-02
2.458311122347825672e+06 1.295731311098995775e+01 5.428681023790647014e-02
2.458311132973912638e+06 1.298723981510863013e+01 5.428681023790647014e-02
2.458311143599999603e+06 1.301642261105432752e+01 5.428681023790648402e-02
2.458311154226086568e+06 1.304489344183304311e+01 5.428681023790647014e-02
2.458311164852173533e+06 1.307268257293894820e+01 5.428681023790647014e-02
2.458311175478260498e+06 1.309981866481583701e+01 5.428681023790647014e-02
2.458311186104347464e+06 1.312632884945650957e+01 5.428681023790647014e-02
2.458311196730434429e+06 1.315223880861850958e+01 5.428681023790647014e-02
2.458311207356521394e+06 1.317757285185282790e+01 5.428681023790647014e-02
2.458311217982608359e+06 1.320235399307837731e+01 5.428681023790648402e-02
2.458311228608695325e+06 1.322660402483432307e+01 5.428681023790647014e-02
2.458311239234782290e+06 1.325034358963876002e+01 5.428681023790647014e-02
2.458311249860869255e+06 1.327359224810116878e+01 5.428681023790647014e-02
2.458311260486956220e+06 1.329636854359665854e+01 5.428681023790647014e-02
2.458311271113043185e+06 1.331869006342682482e+01 5.428681023790647014e-02
2.458311281739130151e+06 1.334057349647577695e+01 5.428681023790647014e-02
2.458311292365217116e+06 1.336203468742894174e+01 5.428681023790647014e-02
2.458311302991304081e+06 1.338308868766280746e+01 5.428681023790647014e-02
2.458311313617391046e+06 1.340374980294044605e+01 5.428681023790647014e-02
2.458311324243478011e+06 1.342403163806417865e+01 5.428681023790647014e-02
2.458311334869564977e+06 1.344394713864563862e+01 5.428681023790647014e-02
2.458311345495651942e+06 1.346350863015700128e+01 5.428681023790647014e-02
2.458311356121738907e+06 1.348272785442654609e+01 5.428681023790647014e-02
2.458311366747825872e+06 1.350161600373852977e+01 5.428681023790647014e-02
2.458311377373912837e+06 1.352018375269201478e+01 5.428681023790647014e-02
2.458311387999999803e+06 1.353844128796686164e+01 5.428681023790647014e-02
