#     t_0 (HJD)       u_0    t_E (d)     rho 
# 2458310.77700  0.006689    15.8860 0.00010 
# 
# Data are perfect.
2.458162617140046787e+06 1.941613499149941191e+01 1.085736204758129542e-02
2.458162723082027398e+06 1.941613450620154424e+01 1.085736204758129542e-02
2.458162829024008010e+06 1.941613401921050652e+01 1.085736204758129542e-02
2.458162934965988621e+06 1.941613353051923241e+01 1.085736204758129542e-02
2.458163040907969233e+06 1.941613304012062713e+01 1.085736204758129542e-02
2.458163146849949844e+06 1.941613254800756039e+01 1.085736204758129542e-02
2.458163252791930456e+06 1.941613205417286636e+01 1.085736204758129542e-02
2.458163358733911067e+06 1.941613155860934725e+01 1.085736204758129542e-02
2.458163464675891679e+06 1.941613106130976263e+01 1.085736204758129542e-02
2.458163570617872290e+06 1.941613056226684719e+01 1.085736204758129542e-02
2.458163676559853368e+06 1.941613006147328591e+01 1.085736204758129542e-02
2.458163782501833979e+06 1.941612955892174952e+01 1.085736204758129542e-02
2.458163888443814591e+06 1.941612905460485550e+01 1.085736204758129542e-02
2.458163994385795202e+06 1.941612854851518932e+01 1.085736204758129542e-02
2.458164100327775814e+06 1.941612804064530096e+01 1.085736204758129542e-02
2.458164206269756425e+06 1.941612753098770838e+01 1.085736204758129542e-02
2.458164312211737037e+06 1.941612701953488340e+01 1.085736204758129542e-02
2.458164418153717648e+06 1.941612650627927295e+01 1.085736204758129542e-02
2.458164524095698260e+06 1.941612599121327776e+01 1.085736204758129542e-02
2.458164630037679337e+06 1.941612547432926306e+01 1.085736204758129542e-02
2.458164735979659948e+06 1.941612495561955853e+01 1.085736204758129542e-02
2.458164841921640560e+06 1.941612443507646191e+01 1.085736204758129542e-02
2.458164947863621172e+06 1.941612391269221760e+01 1.085736204758129542e-02
2.458165053805601783e+06 1.941612338845904873e+01 1.085736204758129542e-02
2.458165159747582395e+06 1.941612286236912865e+01 1.085736204758129542e-02
2.458165265689563006e+06 1.941612233441459878e+01 1.085736204758129542e-02
2.458165371631543618e+06 1.941612180458755432e+01 1.085736204758129542e-02
2.458165477573524229e+06 1.941612127288006562e+01 1.085736204758129542e-02
2.458165583515504841e+06 1.941612073928414617e+01 1.085736204758129542e-02
2.458165689457485918e+06 1.941612020379178460e+01 1.085736204758129542e-02
2.458165795399466529e+06 1.941611966639492337e+01 1.085736204758129542e-02
2.458165901341447141e+06 1.941611912708546583e+01 1.085736204758129542e-02
2.458166007283427753e+06 1.941611858585527273e+01 1.085736204758129542e-02
2.458166113225408364e+06 1.941611804269617281e+01 1.085736204758129542e-02
2.458166219167388976e+06 1.941611749759994510e+01 1.085736204758129542e-02
2.458166325109369587e+06 1.941611695055833309e+01 1.085736204758129542e-02
2.458166431051350199e+06 1.941611640156304119e+01 1.085736204758129542e-02
2.458166536993330810e+06 1.941611585060572409e+01 1.085736204758129542e-02
2.458166642935311887e+06 1.941611529767800093e+01 1.085736204758129542e-02
2.458166748877292499e+06 1.941611474277145533e+01 1.085736204758129542e-02
2.458166854819273110e+06 1.941611418587761762e+01 1.085736204758129542e-02
2.458166960761253722e+06 1.941611362698798615e+01 1.085736204758129542e-02
2.458167066703234334e+06 1.941611306609400600e+01 1.085736204758129542e-02
2.458167172645214945e+06 1.941611250318708670e+01 1.085736204758129542e-02
2.458167278587195557e+06 1.941611193825859871e+01 1.085736204758129542e-02
2.458167384529176168e+06 1.941611137129985920e+01 1.085736204758129542e-02
2.458167490471156780e+06 1.941611080230215336e+01 1.085736204758129542e-02
2.458167596413137391e+06 1.941611023125670954e+01 1.085736204758129542e-02
2.458167702355118468e+06 1.941610965815472412e+01 1.085736204758129542e-02
2.458167808297099080e+06 1.941610908298735083e+01 1.085736204758129542e-02
2.458167914239079691e+06 1.941610850574568303e+01 1.085736204758129542e-02
2.458168020181060303e+06 1.941610792642078920e+01 1.085736204758129542e-02
2.458168126123040915e+06 1.941610734500367741e+01 1.085736204758129542e-02
2.458168232065021526e+06 1.941610676148532022e+01 1.085736204758129542e-02
2.458168338007002138e+06 1.941610617585664045e+01 1.085736204758129542e-02
2.458168443948982749e+06 1.941610558810851828e+01 1.085736204758129542e-02
2.458168549890963361e+06 1.941610499823178770e+01 1.085736204758129542e-02
2.458168655832943972e+06 1.941610440621722944e+01 1.085736204758129542e-02
2.458168761774925049e+06 1.941610381205558866e+01 1.085736204758129542e-02
2.458168867716905661e+06 1.941610321573756082e+01 1.085736204758129542e-02
2.458168973658886272e+06 1.941610261725379161e+01 1.085736204758129542e-02
2.458169079600866884e+06 1.941610201659488055e+01 1.085736204758129542e-02
2.458169185542847496e+06 1.941610141375137744e+01 1.085736204758129542e-02
2.458169291484828107e+06 1.941610080871379296e+01 1.085736204758129542e-02
2.458169397426808719e+06 1.941610020147258098e+01 1.085736204758129542e-02
2.458169503368789330e+06 1.941609959201814561e+01 1.085736204758129542e-02
2.458169609310769942e+06 1.941609898034085546e+01 1.085736204758129542e-02
2.458169715252751019e+06 1.941609836643101161e+01 1.085736204758129542e-02
2.458169821194731630e+06 1.941609775027888674e+01 1.085736204758129542e-02
2.458169927136712242e+06 1.941609713187468955e+01 1.085736204758129542e-02
2.458170033078692853e+06 1.941609651120858260e+01 1.085736204758129542e-02
2.458170139020673465e+06 1.941609588827067867e+01 1.085736204758129542e-02
2.458170244962654077e+06 1.941609526305104438e+01 1.085736204758129542e-02
2.458170350904634688e+06 1.941609463553968951e+01 1.085736204758129542e-02
2.458170456846615300e+06 1.941609400572657762e+01 1.085736204758129542e-02
2.458170562788595911e+06 1.941609337360161547e+01 1.085736204758129542e-02
2.458170668730576523e+06 1.941609273915466716e+01 1.085736204758129542e-02
